year,data_mean_global
0,277.45
100,277.62
200,278.88
250,279.95
300,280.21
400,278.86
500,277.21
600,277.51
700,278.86
800,279.27
900,279.02
1000,279.40
1100,282.97
1200,283.73
1300,281.54
1400,280.45
1500,283.00
1600,278.38
1700,276.75
1800,280.83
1900,295.67
2000,369.12
2014,397.55
